interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,demand
2026-06-02T18:30:00-05:00,2026-06-02 23:30:00+00:00,2026-06-02T18:45:00-05:00,2026-06-02 23:45:00+00:00,71881.9688
2026-06-02T18:45:00-05:00,2026-06-02 23:45:00+00:00,2026-06-02T19:00:00-05:00,2026-06-03 00:00:00+00:00,71168.4818
2026-06-02T19:00:00-05:00,2026-06-03 00:00:00+00:00,2026-06-02T19:15:00-05:00,2026-06-03 00:15:00+00:00,70490.5313
2026-06-02T19:15:00-05:00,2026-06-03 00:15:00+00:00,2026-06-02T19:30:00-05:00,2026-06-03 00:30:00+00:00,69935.7578
2026-06-02T19:30:00-05:00,2026-06-03 00:30:00+00:00,2026-06-02T19:45:00-05:00,2026-06-03 00:45:00+00:00,69189.849
2026-06-02T19:45:00-05:00,2026-06-03 00:45:00+00:00,2026-06-02T20:00:00-05:00,2026-06-03 01:00:00+00:00,68348.5208
2026-06-02T20:00:00-05:00,2026-06-03 01:00:00+00:00,2026-06-02T20:15:00-05:00,2026-06-03 01:15:00+00:00,67745.7474
2026-06-02T20:15:00-05:00,2026-06-03 01:15:00+00:00,2026-06-02T20:30:00-05:00,2026-06-03 01:30:00+00:00,67239.901
2026-06-02T20:30:00-05:00,2026-06-03 01:30:00+00:00,2026-06-02T20:45:00-05:00,2026-06-03 01:45:00+00:00,66612.7656
2026-06-02T20:45:00-05:00,2026-06-03 01:45:00+00:00,2026-06-02T21:00:00-05:00,2026-06-03 02:00:00+00:00,66240.3828
2026-06-02T21:00:00-05:00,2026-06-03 02:00:00+00:00,2026-06-02T21:15:00-05:00,2026-06-03 02:15:00+00:00,65652.2982
2026-06-02T21:15:00-05:00,2026-06-03 02:15:00+00:00,2026-06-02T21:30:00-05:00,2026-06-03 02:30:00+00:00,65180.2995
2026-06-02T21:30:00-05:00,2026-06-03 02:30:00+00:00,2026-06-02T21:45:00-05:00,2026-06-03 02:45:00+00:00,64312.2995
2026-06-02T21:45:00-05:00,2026-06-03 02:45:00+00:00,2026-06-02T22:00:00-05:00,2026-06-03 03:00:00+00:00,63211.4518
2026-06-02T22:00:00-05:00,2026-06-03 03:00:00+00:00,2026-06-02T22:15:00-05:00,2026-06-03 03:15:00+00:00,62209.7813
2026-06-02T22:15:00-05:00,2026-06-03 03:15:00+00:00,2026-06-02T22:30:00-05:00,2026-06-03 03:30:00+00:00,61315.293
2026-06-02T22:30:00-05:00,2026-06-03 03:30:00+00:00,2026-06-02T22:45:00-05:00,2026-06-03 03:45:00+00:00,60358.0521
